@RELATION knn_inter
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {negative,positive}

@DATA
0.070872,0.003657,3.022441,0.129353,0.146606,0.493245,0.012577,0.101954,-28.295417,1.469153,-0.995427,-0.334793,-0.203079,-0.297221,-0.020479,-0.260541,-0.036968,-0.278119,-0.087237,-0.044151,-0.100918,0.016908,0.010934,0.018645,0.016900,0.016605,0.014486,0.014244,0.006268,0.010822,0.010119,0.011018,0.009411,0.020387,0.051311,0.003826,0.318057,0.044267,0.028666,0.434690,0.008303,0.090059,1.878489,0.695242,0.661853,0.539072,0.385536,0.377260,0.344649,0.326102,0.348712,0.349660,0.366226,0.349861,0.326348,0.022141,0.015500,0.022201,0.023250,0.022538,0.021603,0.019474,0.010382,0.016208,0.014335,0.015316,0.014293,0.012069,negative
0.062776,0.016639,2.883792,0.124505,0.156372,0.385463,0.015343,0.082657,-28.533466,1.967421,-0.060560,0.100862,-0.228668,0.142246,-0.020778,0.031153,-0.130780,-0.147512,-0.090698,-0.110144,-0.180939,0.020064,0.006579,0.022051,0.015662,0.022458,0.012856,0.023235,0.005222,0.006763,0.024495,0.020845,0.006518,0.023433,0.054593,0.018992,0.453138,0.055439,0.041933,0.415190,0.011578,0.084262,4.199381,1.160642,0.960519,0.629068,0.503629,0.453573,0.364593,0.321505,0.315265,0.288908,0.288300,0.263471,0.266269,0.025281,0.009857,0.025968,0.021934,0.024402,0.017850,0.024566,0.009501,0.009181,0.027970,0.025846,0.009620,0.012811,negative
0.070112,0.010608,2.881437,0.138530,0.165826,0.483300,0.013390,0.094489,-27.578552,2.509028,-0.294390,-0.491388,-0.179164,0.116883,-0.046130,0.009652,0.043587,-0.000285,-0.180062,-0.028393,-0.072634,0.019881,0.010201,0.025952,0.015145,0.019280,0.013081,0.021985,0.004212,0.009238,0.015674,0.018789,0.010382,0.020042,0.063837,0.010775,0.441182,0.062425,0.029357,0.573521,0.009474,0.111226,2.558685,0.949758,0.831159,0.470441,0.441268,0.347342,0.304895,0.299741,0.298594,0.264135,0.260933,0.245818,0.247465,0.023949,0.014594,0.027888,0.019180,0.021981,0.017377,0.020843,0.007189,0.012198,0.017810,0.020860,0.014069,0.011274,negative
0.062219,0.019998,2.969066,0.128682,0.158480,0.417037,0.012382,0.086282,-25.347254,1.873716,-0.383177,-0.404712,-0.413197,0.169002,-0.071894,0.010513,-0.082153,-0.025867,-0.145260,-0.111558,-0.066563,0.020437,0.008851,0.024018,0.015686,0.019508,0.013180,0.024849,0.006189,0.009852,0.013674,0.017528,0.009415,0.021972,0.051355,0.016572,0.351459,0.047683,0.028981,0.461249,0.007450,0.087356,2.177155,0.788947,0.863988,0.497475,0.507736,0.406451,0.352441,0.314722,0.325242,0.295940,0.323567,0.329142,0.326573,0.025967,0.013292,0.026664,0.021886,0.024041,0.019140,0.029362,0.011293,0.014499,0.017417,0.021067,0.013175,0.011491,negative
0.065943,0.005164,2.994170,0.148568,0.177072,0.446215,0.015277,0.095554,-27.821144,1.901140,-0.418797,-0.341866,-0.236657,0.089345,-0.132139,-0.089833,-0.152749,-0.033698,-0.121366,0.035100,-0.078420,0.016241,0.007125,0.026209,0.016503,0.019920,0.015827,0.024613,0.006336,0.010364,0.015785,0.020997,0.008477,0.025603,0.061566,0.003972,0.348454,0.059974,0.029002,0.476212,0.010181,0.111997,2.297417,0.939319,0.827525,0.525985,0.501542,0.426227,0.385468,0.351967,0.366297,0.350831,0.361726,0.351358,0.326960,0.024042,0.012138,0.030024,0.023910,0.026491,0.024624,0.030366,0.012382,0.016079,0.021733,0.026511,0.013557,0.013484,negative
0.043982,0.007824,2.957251,0.105785,0.148576,0.331390,0.013928,0.066103,-28.610791,2.161817,0.272656,-0.033968,-0.183785,0.197797,0.167096,0.013346,0.022058,0.028522,-0.119001,0.058306,-0.039631,0.014790,0.005946,0.036080,0.014433,0.032436,0.011586,0.056325,0.003508,0.007581,0.014611,0.023963,0.005489,0.030176,0.039856,0.009091,0.318871,0.044571,0.035575,0.370659,0.009011,0.068458,2.665582,0.827329,0.844394,0.493457,0.513277,0.372168,0.341617,0.289284,0.281344,0.252594,0.235123,0.221294,0.219075,0.019839,0.009711,0.034162,0.019365,0.026579,0.016631,0.056717,0.006516,0.011169,0.016735,0.025195,0.008436,0.015618,negative
0.040078,0.033750,3.056739,0.115144,0.162034,0.332157,0.015196,0.063115,-25.787863,2.140979,0.872055,0.157537,-0.375637,-0.015664,0.147598,-0.172424,-0.112185,-0.097847,-0.154423,-0.091771,-0.131147,0.023379,0.004588,0.021883,0.015692,0.040416,0.010423,0.022573,0.002139,0.007490,0.023495,0.026148,0.006206,0.025713,0.026192,0.023003,0.280960,0.030643,0.033758,0.304588,0.010098,0.052272,2.621236,0.894750,0.832250,0.606813,0.516307,0.383960,0.365989,0.302281,0.280368,0.271696,0.265196,0.268557,0.256806,0.027495,0.008039,0.024032,0.021103,0.032954,0.014958,0.024271,0.003857,0.010789,0.024352,0.026884,0.010332,0.011154,negative
0.057341,0.010203,2.911140,0.123220,0.154197,0.438540,0.015339,0.087663,-27.389708,2.086407,0.307176,0.086297,-0.245244,0.094603,-0.028875,-0.004917,-0.072250,-0.005848,-0.105440,0.014358,-0.087682,0.020270,0.005539,0.027175,0.017385,0.023593,0.014872,0.028352,0.003388,0.007830,0.019882,0.021811,0.007032,0.023718,0.052042,0.009280,0.433674,0.053282,0.033579,0.500536,0.014223,0.090309,3.050672,1.086936,0.948940,0.519754,0.518144,0.400528,0.368206,0.298372,0.301260,0.263150,0.246931,0.234332,0.231070,0.027244,0.008770,0.032342,0.024418,0.028456,0.020877,0.030553,0.006121,0.011194,0.023229,0.024941,0.010694,0.013797,negative
0.047794,0.010850,3.084872,0.106063,0.143815,0.338391,0.014003,0.075198,-25.498875,1.989022,-0.546786,-0.278739,-0.246104,0.178193,-0.202712,-0.028382,-0.080092,0.043725,-0.155132,-0.011216,-0.160131,0.018744,0.009197,0.019871,0.012578,0.016238,0.013882,0.024003,0.006254,0.011841,0.020140,0.021446,0.011249,0.021630,0.039144,0.008054,0.253941,0.040150,0.032905,0.392013,0.008718,0.068346,1.401540,0.747314,0.726996,0.415371,0.456636,0.345380,0.308112,0.296845,0.295215,0.283436,0.286518,0.290835,0.289274,0.023980,0.013511,0.023117,0.017632,0.019942,0.019574,0.027676,0.010405,0.016404,0.022877,0.024193,0.015612,0.011744,negative
0.032295,0.025472,3.104417,0.100420,0.162773,0.132386,0.013329,0.041678,-25.159341,2.523161,-0.440937,-0.070963,-0.409507,0.333425,0.142525,-0.064322,0.127371,0.020431,-0.036593,0.016945,0.049164,0.014159,0.010515,0.043944,0.015673,0.033043,0.012331,0.031905,0.005595,0.008624,0.012359,0.019819,0.007404,0.025467,0.013795,0.024206,0.207216,0.025213,0.030218,0.132879,0.007846,0.026074,1.658317,0.575454,0.554018,0.397261,0.441533,0.302181,0.304848,0.292718,0.283183,0.254183,0.241281,0.233462,0.240606,0.016810,0.016802,0.037769,0.019241,0.025796,0.017095,0.030175,0.011207,0.011122,0.014043,0.019752,0.011288,0.010395,negative
