@RELATION randomforest_inter
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {negative,positive}

@DATA
0.054818,0.010983,2.620534,0.114021,0.156756,0.225042,0.001349,0.059874,-23.643398,2.521964,-0.311668,0.372091,-0.756335,-0.120632,-0.293119,-0.081624,-0.178527,0.019485,-0.026685,-0.151885,-0.067712,0.015132,0.009180,0.006134,0.013985,0.003292,0.006458,0.003880,0.006459,0.005200,0.006667,0.007309,0.005196,0.011191,0.032344,0.010789,0.584129,0.054859,0.044117,0.321220,0.000876,0.069251,2.968910,0.731915,1.074251,0.517604,0.671631,0.431233,0.375246,0.325354,0.316444,0.263214,0.227458,0.189932,0.172665,0.026666,0.014668,0.009761,0.021375,0.004061,0.010398,0.005552,0.009745,0.007892,0.009433,0.011937,0.006495,0.010028,negative
0.057545,0.016855,2.581144,0.116122,0.152174,0.266020,0.001445,0.065685,-22.989081,2.305077,-0.138220,0.163274,-0.817394,-0.137174,-0.519598,-0.012127,0.113332,-0.086237,0.035585,-0.129124,0.010985,0.008105,0.006490,0.005272,0.018377,0.003350,0.010884,0.004160,0.008108,0.003873,0.006394,0.007480,0.006941,0.011950,0.033581,0.013667,0.589162,0.051161,0.035578,0.332236,0.001146,0.067750,2.420631,0.655772,0.991780,0.476407,0.633225,0.451834,0.367083,0.285405,0.286856,0.265891,0.228460,0.206986,0.218227,0.013304,0.009712,0.007467,0.032930,0.004564,0.017694,0.005729,0.011936,0.005553,0.009549,0.010449,0.013093,0.009978,negative
0.057588,0.010899,2.622896,0.113994,0.151573,0.247626,0.001394,0.065400,-23.221254,2.453465,-0.269337,0.253143,-0.710072,-0.123184,-0.365422,-0.036694,-0.224047,0.030664,0.003852,-0.147274,0.001653,0.008746,0.009484,0.005097,0.010824,0.004706,0.009596,0.005650,0.006277,0.003726,0.004663,0.004654,0.004928,0.009114,0.037784,0.010067,0.527110,0.058300,0.043030,0.347798,0.001172,0.077559,2.583320,0.758977,0.999519,0.459580,0.634532,0.423769,0.362581,0.302203,0.304347,0.280409,0.234755,0.196341,0.171846,0.013728,0.014198,0.007478,0.015369,0.007531,0.015166,0.007800,0.009527,0.004993,0.005982,0.006344,0.007607,0.006739,negative
0.051702,0.019598,2.632200,0.104700,0.145833,0.195745,0.001472,0.056833,-22.270610,2.363448,-0.202225,0.277574,-0.945432,-0.249970,-0.282618,-0.054635,-0.208938,0.053122,0.032198,-0.159275,0.012315,0.004915,0.005976,0.005351,0.016364,0.005327,0.007651,0.004258,0.006441,0.004357,0.005018,0.004881,0.003868,0.008849,0.032142,0.016468,0.533000,0.048620,0.039124,0.289470,0.001092,0.058524,2.253558,0.669590,1.028361,0.462299,0.652743,0.467666,0.388699,0.260752,0.284479,0.291420,0.221876,0.220199,0.194091,0.007412,0.009171,0.007997,0.024048,0.007403,0.010413,0.005796,0.009399,0.006063,0.007907,0.006560,0.005306,0.006538,negative
0.052415,0.022848,2.613295,0.110515,0.149406,0.227633,0.001411,0.060131,-22.348467,2.360495,-0.374616,0.133117,-0.720393,-0.194754,-0.424389,-0.189074,-0.058298,-0.055550,-0.013944,-0.100131,-0.136548,0.006143,0.006759,0.003130,0.008619,0.005461,0.005873,0.007579,0.011563,0.006055,0.006374,0.006823,0.002960,0.009408,0.027843,0.028483,0.491994,0.047130,0.037329,0.274713,0.001158,0.058738,2.576422,0.731922,0.933436,0.488017,0.610888,0.466135,0.408279,0.317271,0.294148,0.291224,0.234342,0.223460,0.236615,0.009209,0.010042,0.005682,0.013780,0.009350,0.008099,0.009608,0.018079,0.010262,0.009155,0.011788,0.004536,0.007094,negative
0.052448,0.035527,2.691478,0.109749,0.147662,0.222861,0.001175,0.059723,-21.276622,2.250160,-0.563604,0.093294,-0.799192,-0.335490,-0.226796,-0.228016,-0.004166,-0.041255,0.000336,-0.189357,-0.181020,0.006374,0.007052,0.003190,0.009492,0.002881,0.005527,0.005021,0.008644,0.005345,0.007230,0.006019,0.002997,0.008138,0.025136,0.032680,0.441906,0.039072,0.032439,0.210415,0.000780,0.043997,1.878703,0.648136,0.973133,0.457960,0.638531,0.462078,0.407097,0.293410,0.288515,0.274529,0.244855,0.250626,0.262136,0.008654,0.012311,0.005179,0.014788,0.003763,0.007782,0.006103,0.011877,0.007100,0.009836,0.008384,0.004335,0.005494,negative
0.055851,0.015202,2.620624,0.116864,0.155732,0.258942,0.001398,0.064802,-22.428917,2.215340,-0.111322,0.052927,-0.630555,-0.205431,-0.359219,-0.012812,-0.024551,-0.033527,0.079443,-0.118748,-0.006898,0.009818,0.005183,0.005496,0.014148,0.002710,0.012101,0.004297,0.008712,0.004124,0.005079,0.004414,0.004129,0.010212,0.030565,0.013439,0.553824,0.055666,0.041785,0.299436,0.001227,0.071800,2.232821,0.644297,0.960801,0.426591,0.685771,0.455550,0.383700,0.287873,0.283851,0.267839,0.234771,0.195707,0.211091,0.018322,0.007659,0.008786,0.020342,0.003919,0.016427,0.006335,0.012158,0.005823,0.008242,0.005813,0.005383,0.008090,negative
0.059038,0.040338,2.631317,0.123781,0.163825,0.273546,0.001371,0.061128,-21.445180,2.103602,-0.312592,-0.063719,-0.670879,-0.360208,-0.342438,-0.044030,-0.059595,0.069280,0.018185,-0.184304,-0.209681,0.006404,0.002605,0.004114,0.010379,0.002413,0.007778,0.004476,0.008563,0.004274,0.009207,0.006738,0.004397,0.009030,0.029709,0.038141,0.444206,0.045859,0.035723,0.244332,0.001138,0.045424,2.113651,0.672491,0.953169,0.399755,0.652825,0.449044,0.393171,0.299745,0.287900,0.282360,0.256139,0.257275,0.303148,0.010273,0.004517,0.007370,0.016710,0.003241,0.012314,0.008081,0.013387,0.005793,0.012353,0.009042,0.006011,0.006603,negative
0.054064,0.016606,2.613927,0.114426,0.150893,0.259602,0.001281,0.062139,-22.347302,2.270571,-0.272457,0.139023,-0.660817,-0.296531,-0.409657,-0.111613,0.065449,-0.075534,0.128354,-0.194622,0.037643,0.009234,0.005468,0.004023,0.013031,0.002908,0.009006,0.004932,0.009721,0.004249,0.006536,0.006398,0.004252,0.009675,0.027778,0.013451,0.520061,0.049783,0.037332,0.281909,0.000916,0.057933,2.179502,0.670166,1.052161,0.464108,0.667368,0.442052,0.386065,0.296818,0.285684,0.253955,0.245301,0.188255,0.238504,0.015752,0.009413,0.006774,0.021574,0.003894,0.011980,0.007425,0.013855,0.005638,0.009020,0.008831,0.005743,0.006777,negative
0.058540,0.021283,2.651586,0.120406,0.157229,0.292781,0.001172,0.070757,-22.001163,2.118907,-0.246231,0.089897,-0.810496,-0.242161,-0.422147,-0.028275,0.013279,-0.104729,0.167199,-0.216200,0.014257,0.007086,0.005361,0.004072,0.014621,0.002767,0.009221,0.003855,0.008270,0.004475,0.006835,0.005578,0.006708,0.009863,0.030343,0.017389,0.508028,0.045001,0.037291,0.266110,0.000871,0.054050,2.340783,0.617091,1.014785,0.441486,0.620456,0.479349,0.382668,0.299441,0.286939,0.275922,0.218051,0.211866,0.289364,0.009749,0.009839,0.005544,0.025282,0.003671,0.012647,0.005655,0.011754,0.006548,0.009715,0.008246,0.011211,0.007843,negative
