@RELATION svm_inter
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {negative,positive}

@DATA
0.063111,0.048103,3.136777,0.119544,0.139263,0.530579,0.007938,0.100306,-23.300573,0.586936,-0.889572,-0.463740,-0.308043,0.179611,-0.052922,-0.277175,-0.234104,-0.100853,-0.187633,-0.015652,-0.079044,0.010487,0.005891,0.014057,0.010798,0.012081,0.015479,0.015332,0.011384,0.012986,0.011578,0.011405,0.007962,0.016726,0.026386,0.030884,0.174465,0.028565,0.026189,0.286853,0.004305,0.046195,1.202595,0.562461,0.550106,0.369863,0.379157,0.329938,0.289933,0.259548,0.288795,0.308114,0.283446,0.293807,0.277587,0.013557,0.007355,0.015580,0.013917,0.014430,0.019501,0.018472,0.015020,0.015163,0.013781,0.013820,0.010113,0.010133,negative
0.082161,0.008452,2.991236,0.150127,0.160855,0.615271,0.011284,0.130280,-26.223031,1.658717,0.026325,-0.325755,-0.420441,0.091716,-0.179186,-0.083005,-0.094455,-0.000081,-0.009376,0.012428,-0.095197,0.013598,0.007110,0.014228,0.014843,0.019784,0.019750,0.019013,0.006653,0.011270,0.014637,0.017212,0.008729,0.019102,0.073958,0.006170,0.335994,0.068804,0.029678,0.569463,0.014105,0.124163,2.132319,0.785336,0.862426,0.440477,0.478603,0.372179,0.350846,0.303267,0.252705,0.235116,0.237114,0.222509,0.218026,0.019156,0.010591,0.017559,0.020557,0.023814,0.025270,0.020770,0.012107,0.015017,0.014842,0.017660,0.011577,0.011903,negative
0.063324,0.004308,3.076882,0.117070,0.134618,0.484449,0.010424,0.099419,-27.116296,1.229895,-0.651908,-0.147367,-0.245074,0.067351,-0.026564,-0.073400,-0.110867,-0.123127,-0.150678,-0.086665,-0.172365,0.015511,0.009204,0.020577,0.014455,0.013385,0.010102,0.016142,0.006512,0.009608,0.012235,0.015492,0.008052,0.017159,0.043125,0.003251,0.256233,0.039701,0.029589,0.431361,0.006945,0.075613,1.327785,0.847690,0.765815,0.499291,0.459671,0.358109,0.303052,0.279975,0.285510,0.278666,0.290903,0.287822,0.282810,0.019984,0.012836,0.021909,0.018269,0.015834,0.013674,0.017667,0.010368,0.013740,0.015016,0.018886,0.011328,0.010184,negative
0.062332,0.030750,3.018615,0.128990,0.154348,0.470873,0.012753,0.094324,-25.169545,1.543494,-0.261676,-0.245442,-0.399474,0.026350,-0.096031,-0.158296,-0.183004,-0.065991,-0.166993,-0.000292,-0.094632,0.018321,0.007049,0.022517,0.016912,0.016266,0.016213,0.024059,0.005941,0.009935,0.013502,0.014644,0.008829,0.022044,0.050393,0.027583,0.336993,0.050960,0.031542,0.440221,0.009019,0.087062,2.531143,0.976203,0.815985,0.482555,0.546218,0.404332,0.357336,0.347840,0.332323,0.324894,0.349905,0.325174,0.332927,0.025608,0.011018,0.027472,0.023370,0.021531,0.022695,0.029503,0.011230,0.013095,0.017746,0.017779,0.013582,0.012931,negative
0.079200,0.007622,2.986137,0.135994,0.151865,0.589315,0.010370,0.117880,-27.073613,1.389926,-0.408151,-0.406809,-0.255947,0.116818,0.003762,-0.130525,-0.082922,-0.038464,-0.076630,-0.001707,-0.099319,0.016824,0.007488,0.019477,0.012823,0.017142,0.013377,0.020751,0.007490,0.010884,0.012148,0.015371,0.008104,0.018929,0.065034,0.008498,0.348788,0.057828,0.034502,0.517698,0.007678,0.102744,2.440317,0.856650,0.787757,0.509889,0.449515,0.371522,0.319541,0.299543,0.281077,0.285089,0.273851,0.274191,0.281375,0.021898,0.010930,0.022500,0.017695,0.019282,0.018932,0.023964,0.012450,0.015243,0.014754,0.018213,0.011413,0.011081,negative
0.081974,0.007482,3.007950,0.156549,0.165793,0.641640,0.012812,0.127359,-27.283707,1.967557,0.495285,0.015823,-0.033480,0.150593,-0.043945,0.007084,0.002023,-0.023116,-0.128597,-0.043717,-0.086464,0.018279,0.005360,0.034657,0.014307,0.029483,0.011097,0.038101,0.002503,0.006525,0.016466,0.019240,0.005408,0.027375,0.072728,0.005867,0.333423,0.065126,0.027142,0.610477,0.010851,0.129089,2.441986,0.966407,0.840509,0.490662,0.464900,0.383588,0.343381,0.300381,0.294069,0.268634,0.278579,0.271227,0.273456,0.024980,0.008316,0.036535,0.021197,0.032731,0.016495,0.040471,0.004773,0.010094,0.019744,0.022236,0.008686,0.015433,negative
0.053577,0.010374,3.004980,0.111495,0.141145,0.371210,0.013179,0.083048,-26.717238,1.808670,-0.415263,-0.357790,-0.520907,0.068759,-0.000269,-0.019755,-0.097608,0.064449,-0.032153,-0.008117,-0.124090,0.016353,0.008930,0.015843,0.012838,0.016466,0.013427,0.018265,0.007231,0.011209,0.017312,0.019345,0.011585,0.019856,0.045644,0.010043,0.317877,0.044842,0.032952,0.435095,0.008070,0.075514,2.370417,0.820248,0.884247,0.441760,0.484420,0.394554,0.336679,0.282479,0.289091,0.269234,0.275827,0.255718,0.258410,0.022101,0.013672,0.019439,0.017482,0.020442,0.019005,0.021579,0.012072,0.015217,0.020388,0.023345,0.016276,0.011155,negative
0.058297,0.009411,2.928378,0.121327,0.154842,0.425457,0.016355,0.084592,-28.254739,2.361825,-0.059196,-0.285247,-0.259578,-0.004655,-0.036770,0.031142,-0.060602,-0.131671,-0.086923,-0.125836,-0.054128,0.021811,0.008426,0.027898,0.018431,0.024892,0.013541,0.020834,0.003538,0.009278,0.016424,0.023392,0.007500,0.024105,0.056352,0.010193,0.382166,0.057517,0.032362,0.529783,0.011804,0.097463,2.609773,0.947336,0.885734,0.463650,0.474971,0.352750,0.344576,0.292704,0.309175,0.275980,0.284706,0.275512,0.258779,0.027069,0.013225,0.028951,0.024617,0.024685,0.020042,0.024136,0.007003,0.013102,0.020283,0.025932,0.011888,0.012208,negative
0.063319,0.019686,2.970620,0.128086,0.156441,0.422964,0.012322,0.087370,-25.368455,1.876341,-0.382782,-0.409043,-0.406378,0.163537,-0.070238,0.008970,-0.081016,-0.027485,-0.143203,-0.112689,-0.064948,0.020356,0.008832,0.024012,0.015676,0.019464,0.013155,0.024776,0.006185,0.009847,0.013628,0.017513,0.009410,0.021917,0.052126,0.016290,0.349799,0.047623,0.028721,0.466148,0.007406,0.088818,2.179410,0.789129,0.863910,0.497032,0.508522,0.406011,0.352129,0.315379,0.325013,0.295857,0.322233,0.327904,0.325137,0.025870,0.013250,0.026635,0.021842,0.024013,0.019101,0.029253,0.011252,0.014480,0.017368,0.021058,0.013169,0.011472,negative
0.058298,0.009134,2.944618,0.121546,0.153728,0.376574,0.014563,0.088910,-26.598487,1.844047,-0.428908,-0.155182,-0.192488,0.233291,-0.147695,-0.147258,-0.202244,-0.121647,-0.151288,-0.064844,-0.096553,0.016754,0.007267,0.024459,0.018269,0.020152,0.017145,0.019575,0.007086,0.011387,0.014241,0.019265,0.006601,0.022745,0.055986,0.008358,0.392674,0.055029,0.033414,0.489105,0.008702,0.093093,2.234531,0.798106,0.921323,0.588745,0.491913,0.405271,0.367576,0.333848,0.318081,0.328173,0.357682,0.349242,0.344247,0.023501,0.011441,0.029223,0.025641,0.026791,0.025205,0.023990,0.012972,0.017074,0.018099,0.022970,0.010796,0.012122,negative
